年份,月份,企业名称,国五,国六,电动,合计
2024,1,南和县长红玻璃有限公司,1809,1185,0,2994
2024,1,建投邢台热电有限责任公司,0,6683,2323,9006
2024,1,邢台金沙河面业有限责任公司,3468,2229,0,5697
2024,1,南和县华源轩家具有限公司,0,0,0,0
2024,1,邢台中森板材有限公司,0,0,0,0
2024,1,邢台市鑫荣建材有限公司,0,0,0,0
2024,1,政荣新型建材,0,0,0,0
2024,1,邢台建工商品混凝土有限公司南和分公司,27,55,286,368
2024,1,南和县鑫磊建材有限公司,789,515,0,1304
2024,2,南和县长红玻璃有限公司,158,789,0,947
2024,2,建投邢台热电有限责任公司,0,4707,2080,6787
2024,2,邢台金沙河面业有限责任公司,1794,1164,0,2958
2024,2,南和县华源轩家具有限公司,0,0,0,0
2024,2,邢台中森板材有限公司,0,0,0,0
2024,2,邢台市鑫荣建材有限公司,0,0,0,0
2024,2,政荣新型建材,0,0,0,0
2024,2,邢台建工商品混凝土有限公司南和分公司,0,13,17,30
2024,2,南和县鑫磊建材有限公司,2,0,0,2
2024,3,南和县长红玻璃有限公司,31,2028,0,2059
2024,3,建投邢台热电有限责任公司,0,4110,1742,5852
2024,3,邢台金沙河面业有限责任公司,3282,2020,0,5302
2024,3,南和县华源轩家具有限公司,0,0,0,0
2024,3,邢台中森板材有限公司,0,0,0,0
2024,3,邢台市鑫荣建材有限公司,0,0,0,0
2024,3,政荣新型建材,0,0,0,0
2024,3,邢台建工商品混凝土有限公司南和分公司,16,207,1153,1376
2024,3,南和县鑫磊建材有限公司,6,593,565,1164
2024,4,南和县长红玻璃有限公司,106,2035,16,2157
2024,4,建投邢台热电有限责任公司,0,2917,1344,4261
2024,4,邢台金沙河面业有限责任公司,3256,2023,0,5279
2024,4,南和县华源轩家具有限公司,0,0,0,0
2024,4,邢台中森板材有限公司,0,0,0,0
2024,4,邢台市鑫荣建材有限公司,0,0,0,0
2024,4,政荣新型建材,56,31,3,90
2024,4,邢台建工商品混凝土有限公司南和分公司,374,248,1794,2416
2024,4,南和县鑫磊建材有限公司,529,1898,1247,3674
2024,5,南和县长红玻璃有限公司,325,1788,0,2113
2024,5,建投邢台热电有限责任公司,0,3869,1672,5541
2024,5,邢台金沙河面业有限责任公司,3410,2152,0,5562
2024,5,南和县华源轩家具有限公司,0,0,0,0
2024,5,邢台中森板材有限公司,0,0,0,0
2024,5,邢台市鑫荣建材有限公司,0,0,0,0
2024,5,政荣新型建材,2,4,0,6
2024,5,邢台建工商品混凝土有限公司南和分公司,0,34,1295,1329
2024,5,南和县鑫磊建材有限公司,1282,1988,1263,4533
2024,6,南和县长红玻璃有限公司,531,1951,20,2502
2024,6,建投邢台热电有限责任公司,0,3993,1893,5886
2024,6,邢台金沙河面业有限责任公司,3592,2326,0,5918
2024,6,南和县华源轩家具有限公司,0,0,0,0
2024,6,邢台中森板材有限公司,0,0,0,0
2024,6,邢台市鑫荣建材有限公司,957,310,0,1267
2024,6,政荣新型建材,7,11,0,18
2024,6,邢台建工商品混凝土有限公司南和分公司,0,45,1128,1173
2024,6,南和县鑫磊建材有限公司,692,953,599,2244
2024,7,南和县长红玻璃有限公司,1386,1539,0,2925
2024,7,建投邢台热电有限责任公司,0,4926,1640,6566
2024,7,邢台金沙河面业有限责任公司,3356,2343,0,5699
2024,7,南和县华源轩家具有限公司,0,0,0,0
2024,7,邢台中森板材有限公司,0,0,0,0
2024,7,邢台市鑫荣建材有限公司,2247,222,6,2475
2024,7,政荣新型建材,0,162,39,201
2024,7,邢台建工商品混凝土有限公司南和分公司,0,156,1327,1483
2024,7,南和县鑫磊建材有限公司,432,1913,1007,3352
2024,8,南和县长红玻璃有限公司,1006,2073,0,3079
2024,8,建投邢台热电有限责任公司,0,5337,2266,7603
2024,8,邢台金沙河面业有限责任公司,1746,1944,0,3690
2024,8,南和县华源轩家具有限公司,0,0,0,0
2024,8,邢台中森板材有限公司,0,0,0,0
2024,8,邢台市鑫荣建材有限公司,1653,211,2,1866
2024,8,政荣新型建材,0,2,0,2
2024,8,邢台建工商品混凝土有限公司南和分公司,0,69,1098,1167
2024,8,南和县鑫磊建材有限公司,0,1194,804,1998
2024,9,南和县长红玻璃有限公司,1123,1115,0,2238
2024,9,建投邢台热电有限责任公司,0,3471,2292,5763
2024,9,邢台金沙河面业有限责任公司,2205,1722,0,3927
2024,9,南和县华源轩家具有限公司,234,249,0,483
2024,9,邢台中森板材有限公司,4,4,0,8
2024,9,邢台市鑫荣建材有限公司,2208,227,0,2435
2024,9,政荣新型建材,0,535,0,535
2024,9,邢台建工商品混凝土有限公司南和分公司,0,36,903,939
2024,9,南和县鑫磊建材有限公司,71,1331,961,2363
2024,10,南和县长红玻璃有限公司,1502,1694,0,3196
2024,10,建投邢台热电有限责任公司,0,3844,1774,5618
2024,10,邢台金沙河面业有限责任公司,2216,1724,0,3940
2024,10,南和县华源轩家具有限公司,496,390,0,886
2024,10,邢台中森板材有限公司,643,411,0,1054
2024,10,邢台市鑫荣建材有限公司,112,18,0,130
2024,10,政荣新型建材,6,17,1,24
2024,10,邢台建工商品混凝土有限公司南和分公司,0,88,1080,1168
2024,10,南和县鑫磊建材有限公司,0,1228,913,2141
2024,11,南和县长红玻璃有限公司,1173,1872,0,3045
2024,11,建投邢台热电有限责任公司,0,5734,1855,7589
2024,11,邢台金沙河面业有限责任公司,1289,1476,0,2765
2024,11,南和县华源轩家具有限公司,558,369,0,927
2024,11,邢台中森板材有限公司,531,364,0,895
2024,11,邢台市鑫荣建材有限公司,2654,371,12,3037
2024,11,政荣新型建材,9,689,26,724
2024,11,邢台建工商品混凝土有限公司南和分公司,0,95,1116,1211
2024,11,南和县鑫磊建材有限公司,0,1352,1158,2510
